db date,db time,local date,local time,cpm
2023-10-06,14:02:12,2023-10-06,21:02:12,0.337
2023-10-06,14:04:00,2023-10-06,21:04:00,0.337
2023-10-06,14:05:26,2023-10-06,21:05:26,0.337
2023-10-06,14:07:55,2023-10-06,21:07:55,0.337
2023-10-06,14:32:43,2023-10-06,21:32:43,0.336
2023-10-06,14:34:31,2023-10-06,21:34:31,0.336
2023-10-06,14:37:19,2023-10-06,21:37:19,0.336
2023-10-06,14:44:59,2023-10-06,21:44:59,0.331
2023-10-06,15:08:01,2023-10-06,22:08:01,0.332
2023-10-06,15:24:11,2023-10-06,22:24:11,0.327
2023-10-06,15:35:26,2023-10-06,22:35:26,0.321
2023-10-06,15:46:11,2023-10-06,22:46:11,0.322
2023-10-06,15:56:28,2023-10-06,22:56:28,0.316
2023-10-06,16:20:12,2023-10-06,23:20:12,0.318
2023-10-06,16:35:57,2023-10-06,23:35:57,0.31
2023-10-06,16:46:32,2023-10-06,23:46:32,0.306
2023-10-06,16:57:10,2023-10-06,23:57:10,0.307
2023-10-07,01:17:44,2023-10-07,08:17:44,0.268
2023-10-07,01:58:27,2023-10-07,08:58:27,0.281
2023-10-07,02:22:15,2023-10-07,09:22:15,0.293
2023-10-07,02:32:52,2023-10-07,09:32:52,0.28
2023-10-07,02:43:24,2023-10-07,09:43:24,0.278
2023-10-07,02:53:45,2023-10-07,09:53:45,0.289
2023-10-07,03:10:42,2023-10-07,10:10:42,0.284
2023-10-07,03:23:04,2023-10-07,10:23:04,0.292
2023-10-07,03:34:01,2023-10-07,10:34:01,0.291
2023-10-07,03:44:30,2023-10-07,10:44:30,0.288
